GameID,Season,Fight_Time,Period,Period_Label,Team,Opponent,Is_Home,Score_State_At_Fight,Was_Trailing,Corsi_Before,Corsi_After,Corsi_Delta,Shots_Before,Shots_After,Shots_Delta,Goals_Before,Goals_After,xG_Before,xG_After,xG_Delta,Gained_Momentum
2010020039,2010,1568,2,Period 2,PIT,TOR,1,-1,1,5.0,5.0,0.0,4.0,1.0,-3.0,0.0,0.0,0.2365888468685354,0.19512009192594176,-0.04146875494259364,0
2010020041,2010,682,1,Period 1,ANA,VAN,1,-1,1,3.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0324480869163477,0.0363824329001809,0.003934345983833201,0
2010020041,2010,682,1,Period 1,VAN,ANA,0,1,0,5.0,10.0,5.0,3.0,3.0,0.0,0.0,0.0,0.5242083394139749,0.9939821733286524,0.4697738339146774,1
2010020042,2010,1439,2,Period 2,PHI,TBL,1,0,0,6.0,6.0,0.0,3.0,1.0,-2.0,0.0,0.0,0.22702242091950908,0.4562298166917481,0.22920739577223903,0
2010020042,2010,1439,2,Period 2,TBL,PHI,0,0,0,9.0,0.0,-9.0,3.0,0.0,-3.0,0.0,0.0,0.29308059345455295,0.0,-0.29308059345455295,0
2010020044,2010,254,1,Period 1,NSH,STL,1,1,0,7.0,5.0,-2.0,3.0,3.0,0.0,1.0,0.0,0.37445352996550557,0.1113775908777333,-0.26307593908777227,0
2010020044,2010,254,1,Period 1,STL,NSH,0,-1,1,5.0,2.0,-3.0,3.0,2.0,-1.0,0.0,0.0,0.1157365238117293,0.18160234835880829,0.06586582454707898,0
2010020048,2010,2752,3,Period 3,NJD,COL,1,-2,1,3.0,7.0,4.0,2.0,7.0,5.0,0.0,1.0,0.0800821203868326,0.2412449412792123,0.1611628208923797,1
2010020048,2010,2752,3,Period 3,COL,NJD,0,2,0,6.0,1.0,-5.0,5.0,1.0,-4.0,1.0,0.0,0.6272932411152176,0.1624558391815063,-0.46483740193371126,0
2010020049,2010,764,1,Period 1,NYR,TOR,1,1,0,9.0,5.0,-4.0,4.0,1.0,-3.0,1.0,0.0,0.8295321069669725,0.5732159349500597,-0.2563161720169128,0
2010020049,2010,764,1,Period 1,TOR,NYR,0,-1,1,4.0,7.0,3.0,2.0,4.0,2.0,0.0,0.0,0.1005239784838467,0.2791084650332679,0.17858448654942122,1
2010020050,2010,149,1,Period 1,PIT,NYI,1,0,0,0.0,8.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.1190221404215847,0.1190221404215847,1
2010020050,2010,149,1,Period 1,NYI,PIT,0,0,0,4.0,3.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0812767850623604,0.0306577207461404,-0.05061906431622,0
2010020053,2010,474,1,Period 1,ATL,ANA,0,1,0,5.0,2.0,-3.0,3.0,2.0,-1.0,0.0,0.0,0.37928679485180605,0.046919011399549404,-0.33236778345225665,0
2010020053,2010,474,1,Period 1,ANA,ATL,1,-1,1,5.0,8.0,3.0,2.0,4.0,2.0,0.0,1.0,0.0959724495065068,0.3283346324372971,0.2323621829307903,1
2010020054,2010,1297,2,Period 2,LAK,VAN,1,1,0,3.0,2.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.4251188820804454,0.0239503673142711,-0.4011685147661743,0
2010020054,2010,1297,2,Period 2,VAN,LAK,0,-1,1,5.0,6.0,1.0,0.0,4.0,4.0,0.0,0.0,0.1581356681648187,0.23870265291607962,0.08056698475126092,1
2010020057,2010,5,1,Period 1,NYI,COL,1,0,0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.10369479831981271,0.10369479831981271,1
2010020058,2010,153,1,Period 1,PIT,PHI,0,0,0,2.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0202482113952441,0.09224286861179509,0.07199465721655099,1
2010020058,2010,153,1,Period 1,PHI,PIT,1,0,0,3.0,5.0,2.0,3.0,2.0,-1.0,0.0,1.0,0.1173621444810029,0.3451086443690204,0.22774649988801748,1
2010020061,2010,1383,2,Period 2,MIN,CBJ,1,-1,1,8.0,6.0,-2.0,5.0,1.0,-4.0,0.0,1.0,0.19578225245313072,0.1766908706532757,-0.019091381799855006,0
2010020061,2010,1383,2,Period 2,CBJ,MIN,0,1,0,5.0,4.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.3019548037215692,0.1143656379311026,-0.18758916579046658,0
2010020066,2010,1271,2,Period 2,SJS,ATL,1,2,0,2.0,10.0,8.0,1.0,5.0,4.0,0.0,0.0,0.44804365790390444,0.6692700259237843,0.22122636801987983,1
2010020066,2010,1271,2,Period 2,ATL,SJS,0,-2,1,5.0,5.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0803733673691817,0.2407381835042568,0.16036481613507508,0
2010020069,2010,1971,2,Period 2,TOR,NYI,1,-1,1,5.0,8.0,3.0,2.0,5.0,3.0,0.0,0.0,0.125697407207992,0.13271785008994252,0.007020442881950528,1
2010020069,2010,1971,2,Period 2,NYI,TOR,0,1,0,2.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0667906451413156,0.0709283299926909,0.004137684851375306,0
2010020071,2010,1031,1,Period 1,OTT,PIT,0,-3,1,2.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0344049092008285,0.0533713204563735,0.018966411255545004,1
2010020071,2010,1031,1,Period 1,PIT,OTT,1,3,0,11.0,8.0,-3.0,6.0,3.0,-3.0,2.0,0.0,1.0384285104850524,0.3596664129124932,-0.6787620975725592,0
2010020071,2010,2885,3,Period 3,OTT,PIT,0,-3,1,5.0,4.0,-1.0,3.0,3.0,0.0,1.0,0.0,0.044429727316347395,0.07174931310104081,0.027319585784693415,0
2010020071,2010,2885,3,Period 3,PIT,OTT,1,3,0,2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0555228468695491,0.35252624467990745,0.29700339781035834,1
2010020073,2010,165,1,Period 1,STL,CHI,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281421604512828,0.0,-0.0281421604512828,0
2010020073,2010,165,1,Period 1,CHI,STL,1,0,0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.1773659522295227,0.1773659522295227,1
2010020074,2010,195,1,Period 1,BOS,WSH,0,0,0,5.0,2.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0197274600919282,0.0687973280234426,0.049069867931514397,0
2010020074,2010,195,1,Period 1,WSH,BOS,1,0,0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0882944812265295,0.08961814488054079,0.0013236636540112923,1
2010020074,2010,2963,3,Period 3,WSH,BOS,1,-2,1,5.0,5.0,0.0,3.0,2.0,-1.0,0.0,0.0,0.15798967050650692,0.1023988060095879,-0.055590864496919024,0
2010020074,2010,2963,3,Period 3,BOS,WSH,0,2,0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0738784407419416,0.094760719323253,0.020882278581311406,1
2010020076,2010,652,1,Period 1,VAN,MIN,0,-1,1,2.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.1152802081948926,0.1129039732938781,-0.002376234901014504,1
2010020076,2010,652,1,Period 1,MIN,VAN,1,1,0,7.0,4.0,-3.0,4.0,2.0,-2.0,2.0,0.0,0.3454062297675988,0.10663888163062629,-0.23876734813697253,0
2010020083,2010,141,1,Period 1,NYR,TOR,0,0,0,5.0,4.0,-1.0,5.0,3.0,-2.0,0.0,0.0,0.2259540637678722,0.21774503007418958,-0.008209033693682616,0
2010020083,2010,141,1,Period 1,TOR,NYR,1,0,0,1.0,6.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0160357981084961,0.0160357981084961,1
2010020084,2010,143,1,Period 1,ANA,PHI,0,1,0,4.0,2.0,-2.0,2.0,1.0,-1.0,1.0,0.0,0.24316543504113433,0.0221488424622714,-0.22101659257886294,0
2010020084,2010,143,1,Period 1,PHI,ANA,1,-1,1,3.0,12.0,9.0,2.0,6.0,4.0,0.0,1.0,0.0267860038764667,0.5236892385710017,0.496903234694535,1
2010020086,2010,214,1,Period 1,MTL,NJD,1,0,0,4.0,6.0,2.0,2.0,4.0,2.0,0.0,0.0,0.15839630971510119,0.15558792427667412,-0.002808385438427069,1
2010020086,2010,214,1,Period 1,NJD,MTL,0,0,0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0362684794600168,0.3145122372946924,0.2782437578346756,1
2010020088,2010,550,1,Period 1,DAL,FLA,0,0,0,8.0,1.0,-7.0,6.0,0.0,-6.0,0.0,0.0,0.5359478886329923,0.0307913679362718,-0.5051565206967205,0
2010020088,2010,550,1,Period 1,FLA,DAL,1,0,0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.26503458041941214,0.34408587007076535,0.07905128965135322,1
2010020089,2010,1708,2,Period 2,NSH,PIT,1,1,0,4.0,3.0,-1.0,3.0,3.0,0.0,1.0,0.0,0.33457402716557777,0.4405258670171305,0.10595183985155271,0
2010020089,2010,1708,2,Period 2,PIT,NSH,0,-1,1,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.1600012375145544,0.1600012375145544,1
2010020093,2010,1013,1,Period 1,CGY,CBJ,0,1,0,6.0,3.0,-3.0,3.0,1.0,-2.0,1.0,1.0,0.4765012684052518,0.29521330025559434,-0.18128796814965747,0
2010020093,2010,1013,1,Period 1,CBJ,CGY,1,-1,1,2.0,3.0,1.0,2.0,0.0,-2.0,1.0,0.0,0.1541012593296632,0.0727684731877383,-0.0813327861419249,1
2010020096,2010,178,1,Period 1,STL,CHI,1,0,0,2.0,7.0,5.0,1.0,5.0,4.0,0.0,1.0,0.0596282233333224,0.3882846877238727,0.3286564643905503,1
2010020096,2010,178,1,Period 1,CHI,STL,0,0,0,3.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0280259227203594,0.1549970077058218,0.12697108498546242,0
2010020096,2010,2021,2,Period 2,STL,CHI,1,0,0,5.0,2.0,-3.0,3.0,1.0,-2.0,0.0,0.0,0.15603808046569512,0.0585386215408465,-0.09749945892484863,0
2010020096,2010,2021,2,Period 2,CHI,STL,0,0,0,5.0,4.0,-1.0,2.0,3.0,1.0,1.0,0.0,0.0803516599630567,0.1348639809318342,0.05451232096877749,0
2010020097,2010,663,1,Period 1,MIN,VAN,0,-1,1,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0085304706701872,0.052312776090466195,0.043782305420279,0
2010020097,2010,663,1,Period 1,VAN,MIN,1,1,0,8.0,5.0,-3.0,2.0,2.0,0.0,1.0,0.0,0.6421821161797043,0.3222847743154853,-0.31989734186421903,0
2010020098,2010,260,1,Period 1,BOS,NYR,1,0,0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.22811881019650268,0.0960497563096847,-0.132069053886818,0
2010020098,2010,260,1,Period 1,NYR,BOS,0,0,0,0.0,7.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.3159897667951914,0.3159897667951914,1
2010020098,2010,757,1,Period 1,NYR,BOS,0,2,0,13.0,3.0,-10.0,7.0,0.0,-7.0,2.0,0.0,1.1120844709415412,0.0542791389892119,-1.0578053319523293,0
2010020098,2010,757,1,Period 1,BOS,NYR,1,-2,1,0.0,5.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.10079231475870501,0.10079231475870501,1
2010020098,2010,917,1,Period 1,BOS,NYR,1,-2,1,2.0,9.0,7.0,1.0,6.0,5.0,0.0,1.0,0.0415186335870972,0.2524459898280243,0.2109273562409271,1
2010020098,2010,917,1,Period 1,NYR,BOS,0,2,0,10.0,1.0,-9.0,6.0,0.0,-6.0,2.0,0.0,0.8901705730783134,0.0,-0.8901705730783134,0
2010020099,2010,1898,2,Period 2,MTL,OTT,0,1,0,4.0,8.0,4.0,3.0,7.0,4.0,0.0,1.0,0.2071642327514321,0.7327649724714698,0.5256007397200377,1
2010020099,2010,1898,2,Period 2,OTT,MTL,1,-1,1,8.0,2.0,-6.0,7.0,2.0,-5.0,0.0,0.0,0.2216102363111847,0.0209263668569873,-0.20068386945419742,0
2010020101,2010,874,1,Period 1,PHI,TOR,1,0,0,6.0,10.0,4.0,4.0,8.0,4.0,0.0,2.0,0.1762495810456531,0.77102313107902,0.5947735500333668,1
2010020101,2010,874,1,Period 1,TOR,PHI,0,0,0,4.0,4.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0155065883450747,0.0,-0.0155065883450747,0
2010020105,2010,1404,2,Period 2,STL,PIT,1,0,0,2.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0438594847899224,0.0450724135638418,0.0012129287739193959,0
2010020105,2010,1404,2,Period 2,PIT,STL,0,0,0,6.0,8.0,2.0,6.0,5.0,-1.0,0.0,0.0,0.3812799972336721,0.3460647721016714,-0.035215225132000705,1
2010020108,2010,698,1,Period 1,LAK,COL,0,1,0,6.0,0.0,-6.0,3.0,0.0,-3.0,1.0,0.0,0.5712849794409371,0.0,-0.5712849794409371,0
2010020108,2010,698,1,Period 1,COL,LAK,1,-1,1,5.0,3.0,-2.0,4.0,2.0,-2.0,1.0,1.0,0.12123168549806279,0.08062416642558509,-0.0406075190724777,0
2010020109,2010,1792,2,Period 2,CAR,PHX,0,2,0,10.0,1.0,-9.0,4.0,1.0,-3.0,1.0,0.0,0.8686093242922316,0.0261190150062088,-0.8424903092860228,0
2010020109,2010,1792,2,Period 2,PHX,CAR,1,-2,1,4.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.1593340200956661,0.10431745208108689,-0.055016568014579215,1
2010020110,2010,1985,2,Period 2,SJS,EDM,0,1,0,4.0,4.0,0.0,3.0,2.0,-1.0,1.0,0.0,0.32364471976810233,0.084303818466572,-0.23934090130153032,0
2010020110,2010,1985,2,Period 2,EDM,SJS,1,-1,1,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.1209316544515792,0.17001145881796662,0.04907980436638741,0
2010020113,2010,516,1,Period 1,SJS,CGY,0,-3,1,9.0,5.0,-4.0,5.0,1.0,-4.0,0.0,0.0,0.282538964977671,0.06681769811616581,-0.2157212668615052,0
